date,tsurf,t1000,active_year,day_of_the_year
2014-08-07,24.879335403442383,13.418778419494629,2014,222
2014-08-14,24.695768356323242,13.415446281433105,2014,229
2014-08-21,24.520627975463867,13.385804176330566,2014,236
2014-08-28,24.292448043823242,13.393691062927246,2014,243
2014-09-04,23.968332290649414,13.386122703552246,2014,250
2014-09-11,23.446346282958984,13.392069816589355,2014,257
2014-09-18,22.87611961364746,13.41250991821289,2014,264
2014-09-25,22.178159713745117,13.444643020629883,2014,271
2014-10-02,21.58148956298828,13.490835189819336,2014,278
2014-10-09,20.96157455444336,13.526983261108398,2014,285
2014-10-16,20.30239486694336,13.529060363769531,2014,292
2014-10-23,19.70029067993164,13.559090614318848,2014,299
2014-10-30,19.118648529052734,13.554496765136719,2014,306
2014-11-06,18.58681297302246,13.563407897949219,2014,313
2014-11-13,18.13300895690918,13.562468528747559,2014,320
2014-11-20,17.49476432800293,13.565707206726074,2014,327
2014-11-27,16.909374237060547,13.561515808105469,2014,334
2014-12-04,16.220239639282227,13.553335189819336,2014,341
2014-12-11,15.718568801879883,13.540313720703125,2014,348
2014-12-18,15.33645248413086,13.534873962402344,2014,355
2014-12-25,14.729836463928223,13.53193473815918,2014,362
2015-01-01,14.404255867004395,13.527501106262207,2015,4
2015-01-08,14.199650764465332,13.515007019042969,2015,11
2015-01-15,14.142598152160645,13.514211654663086,2015,18
2015-01-22,14.136725425720215,13.53001594543457,2015,25
2015-01-29,14.123985290527344,13.548497200012207,2015,32
2015-02-05,14.12633228302002,13.577610969543457,2015,39
2015-02-12,14.236928939819336,13.579158782958984,2015,46
2015-02-19,14.361555099487305,13.586840629577637,2015,53
2015-02-26,14.549951553344727,13.588869094848633,2015,60
2015-03-05,14.776719093322754,13.591609001159668,2015,67
2015-03-12,15.068389892578125,13.58981990814209,2015,74
2015-03-19,15.502126693725586,13.575638771057129,2015,81
2015-03-26,16.18606185913086,13.56065559387207,2015,88
2015-04-02,16.906982421875,13.563602447509766,2015,95
2015-04-09,17.76744270324707,13.565603256225586,2015,102
2015-04-16,18.39082145690918,13.565885543823242,2015,109
2015-04-23,18.968658447265625,13.553067207336426,2015,116
2015-04-30,19.630685806274414,13.54642391204834,2015,123
2015-05-07,20.25105094909668,13.542110443115234,2015,130
2015-05-14,20.796859741210938,13.540923118591309,2015,137
2015-05-21,21.380786895751953,13.539054870605469,2015,144
2015-05-28,22.234865188598633,13.526906967163086,2015,151
2015-06-04,23.194597244262695,13.547184944152832,2015,158
2015-06-11,23.952978134155273,13.563531875610352,2015,165
2015-06-18,24.70474624633789,13.581927299499512,2015,172
2015-06-25,25.34229278564453,13.59540843963623,2015,179
2015-07-02,25.961034774780273,13.600484848022461,2015,186
2015-07-09,26.35403823852539,13.614073753356934,2015,193
2015-07-16,26.582231521606445,13.641213417053223,2015,200
2015-07-23,26.720718383789062,13.625797271728516,2015,207
2015-07-30,26.56293296813965,13.626199722290039,2015,214
2015-08-06,26.336538314819336,13.623579978942871,2015,221
2015-08-13,26.00545883178711,13.639674186706543,2015,228
2015-08-20,25.507644653320312,13.603751182556152,2015,235
2015-08-27,25.08927345275879,13.58411979675293,2015,242
2015-09-03,24.607309341430664,13.563044548034668,2015,249
2015-09-10,24.012205123901367,13.539413452148438,2015,256
2015-09-17,23.34028434753418,13.515543937683105,2015,263
2015-09-24,22.648237228393555,13.496779441833496,2015,270
2015-10-01,21.988407135009766,13.479619026184082,2015,277
2015-10-08,21.437257766723633,13.478117942810059,2015,284
2015-10-15,20.75861930847168,13.457903861999512,2015,291
2015-10-22,20.180343627929688,13.455230712890625,2015,298
2015-10-29,19.680152893066406,13.450238227844238,2015,305
2015-11-05,19.033267974853516,13.452214241027832,2015,312
2015-11-12,18.580432891845703,13.459187507629395,2015,319
2015-11-19,18.00588607788086,13.449122428894043,2015,326
2015-11-26,17.484899520874023,13.456663131713867,2015,333
2015-12-03,17.1392765045166,13.462272644042969,2015,340
2015-12-10,16.809547424316406,13.459096908569336,2015,347
2015-12-17,16.55329132080078,13.470571517944336,2015,354
2015-12-24,16.308427810668945,13.481369018554688,2015,361
2015-12-31,16.00936508178711,13.472498893737793,2016,3
2016-01-07,15.805671691894531,13.47283935546875,2016,10
2016-01-14,15.698966026306152,13.480501174926758,2016,17
2016-01-21,15.57611083984375,13.487194061279297,2016,24
2016-01-28,15.445832252502441,13.477375984191895,2016,31
2016-02-04,15.39444637298584,13.47213077545166,2016,38
2016-02-11,15.380858421325684,13.451102256774902,2016,45
2016-02-18,15.557076454162598,13.463306427001953,2016,52
2016-02-25,15.688886642456055,13.462291717529297,2016,59
2016-03-03,15.87865161895752,13.454792976379395,2016,66
2016-03-10,16.13129234313965,13.463420867919922,2016,73
2016-03-17,16.44776153564453,13.494464874267578,2016,80
