Estado - Sigla,Municipio,Produto,Valor de Venda,Bandeira
PB,BAYEUX,DIESEL S10,5.29,RAIZEN
PB,JOAO PESSOA,GASOLINA,6.37,ALESAT
PB,JOAO PESSOA,DIESEL,5.39,ALESAT
PB,JOAO PESSOA,DIESEL S10,5.49,ALESAT
PB,JOAO PESSOA,GASOLINA,6.44,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.88,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.34,VIBRA ENERGIA
PB,CABEDELO,GASOLINA,6.58,IPIRANGA
PB,CABEDELO,ETANOL,5.29,IPIRANGA
PB,CABEDELO,DIESEL,5.39,IPIRANGA
PB,CABEDELO,GASOLINA ADITIVADA,6.78,IPIRANGA
PB,CABEDELO,DIESEL S10,5.49,IPIRANGA
PB,CABEDELO,GASOLINA,6.59,IPIRANGA
PB,CABEDELO,ETANOL,5.39,IPIRANGA
PB,CABEDELO,DIESEL,5.49,IPIRANGA
PB,CABEDELO,GASOLINA ADITIVADA,6.79,IPIRANGA
PB,CABEDELO,DIESEL S10,5.59,IPIRANGA
PB,CABEDELO,GASOLINA,6.58,BRANCA
PB,CABEDELO,ETANOL,4.98,BRANCA
PB,CABEDELO,GASOLINA ADITIVADA,6.58,BRANCA
PB,CABEDELO,DIESEL S10,5.58,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.39,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.59,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.49,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.32,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.86,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.38,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.49,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.99,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.64,IPIRANGA
PB,CAMPINA GRANDE,GNV,4.89,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.49,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA,6.39,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.99,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.59,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.5,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA,6.39,VIBRA ENERGIA
PB,CAMPINA GRANDE,ETANOL,4.88,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.59,VIBRA ENERGIA
PB,CAMPINA GRANDE,DIESEL S10,5.5,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA,6.49,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.98,BRANCA
PB,CAMPINA GRANDE,DIESEL,5.39,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.59,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.49,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.49,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.99,IPIRANGA
PB,CAMPINA GRANDE,DIESEL,5.39,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.65,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.49,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA,6.49,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.55,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.59,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.59,ALESAT
PB,CAMPINA GRANDE,ETANOL,5.19,ALESAT
PB,CAMPINA GRANDE,DIESEL S10,5.59,ALESAT
PB,SOUSA,GASOLINA,6.68,VIBRA ENERGIA
PB,SOUSA,ETANOL,5.28,VIBRA ENERGIA
PB,SOUSA,GASOLINA ADITIVADA,6.78,VIBRA ENERGIA
PB,SOUSA,DIESEL S10,5.68,VIBRA ENERGIA
PB,SOUSA,GASOLINA,6.58,TEMAPE
PB,SOUSA,ETANOL,5.3,TEMAPE
PB,SOUSA,GASOLINA ADITIVADA,6.58,TEMAPE
PB,SOUSA,DIESEL S10,5.68,TEMAPE
PB,SOUSA,GASOLINA,6.81,VIBRA ENERGIA
PB,SOUSA,ETANOL,5.43,VIBRA ENERGIA
PB,SOUSA,DIESEL S10,5.72,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA,6.49,IPIRANGA
PB,JOAO PESSOA,ETANOL,4.99,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.49,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.48,VIBRA ENERGIA
PB,SOUSA,GASOLINA,6.64,BRANCA
PB,SOUSA,DIESEL S10,5.69,BRANCA
PB,CABEDELO,ETANOL,4.99,VIBRA ENERGIA
PB,CABEDELO,GASOLINA ADITIVADA,6.49,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA,6.39,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.88,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.65,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.49,IPIRANGA
PB,SOUSA,GASOLINA,6.68,BRANCA
PB,CABEDELO,GASOLINA,6.49,SETTA DISTRIBUIDORA
PB,CABEDELO,ETANOL,5.09,SETTA DISTRIBUIDORA
PB,CABEDELO,DIESEL,5.48,SETTA DISTRIBUIDORA
PB,CABEDELO,GASOLINA ADITIVADA,6.59,SETTA DISTRIBUIDORA
PB,CABEDELO,DIESEL S10,5.57,SETTA DISTRIBUIDORA
PB,JOAO PESSOA,GASOLINA,6.5,IPIRANGA
PB,JOAO PESSOA,ETANOL,5.0,IPIRANGA
PB,JOAO PESSOA,DIESEL S10,5.5,IPIRANGA
PB,SOUSA,GASOLINA,6.79,BRANCA
PB,SOUSA,ETANOL,4.91,BRANCA
PB,SOUSA,DIESEL S10,5.44,BRANCA
PB,CABEDELO,GASOLINA,6.59,RAIZEN
PB,CABEDELO,ETANOL,5.19,RAIZEN
PB,CABEDELO,DIESEL,5.39,RAIZEN
PB,CABEDELO,GASOLINA ADITIVADA,6.89,RAIZEN
PB,CABEDELO,DIESEL S10,5.49,RAIZEN
PB,JOAO PESSOA,GASOLINA,6.48,VIBRA ENERGIA
PB,JOAO PESSOA,ETANOL,4.99,VIBRA ENERGIA
PB,JOAO PESSOA,GASOLINA ADITIVADA,6.59,VIBRA ENERGIA
PB,JOAO PESSOA,DIESEL S10,5.5,VIBRA ENERGIA
PB,CAMPINA GRANDE,GASOLINA,6.49,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.99,IPIRANGA
PB,CAMPINA GRANDE,DIESEL,5.29,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.65,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.49,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA,6.45,BRANCA
PB,CAMPINA GRANDE,ETANOL,4.99,BRANCA
PB,CAMPINA GRANDE,DIESEL,5.29,BRANCA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.55,BRANCA
PB,CAMPINA GRANDE,DIESEL S10,5.59,BRANCA
PB,CAMPINA GRANDE,GASOLINA,6.49,IPIRANGA
PB,CAMPINA GRANDE,ETANOL,4.99,IPIRANGA
PB,CAMPINA GRANDE,GASOLINA ADITIVADA,6.65,IPIRANGA
PB,CAMPINA GRANDE,DIESEL S10,5.49,IPIRANGA
PB,JOAO PESSOA,GASOLINA,6.47,BRANCA
